PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
1,23.182,74.03,39.14,690,1.14,1.33,2.17,267947.93
1,20.302,72.55,38.75,680,0.83,1.52,1.87,271348.74
1,15.506,83.7,37.78,756,0.42,-0.12,1.39,299057.49
1,26.668,82.18,36.33,739,0.88,0.31,2.55,257023.81
0,34.107,68.15,36.4,742,0.65,0.26,3.42,335539.28
1,7.887,90.97,40.7,702,0.92,1.39,0.68,241532.95
0,23.802,69.14,36.89,738,0.33,0.3,2.24,340112.22
1,54.266,70.71,35.3,769,0.86,-0.3,6.31,340261.39
1,18.252,84.29,38.49,703,0.84,1.16,1.67,246506.59
0,37.978,69.73,36.12,753,0.64,0.18,3.9,337745.36
1,18.241,68.16,37.31,710,0.88,0.99,1.66,265491.05
1,11.995,69.59,37.15,698,0.62,1.12,1.06,239225.6
1,20.824,82.02,35.23,759,0.37,-0.12,1.93,281106.07
1,24.734,85.92,37.53,757,0.69,-0.24,2.34,312032.58
1,15.714,82.06,35.36,755,0.39,-0.03,1.41,268923.8
1,10.878,85.69,38.16,706,0.59,0.92,0.96,247102.67
0,45.152,70.91,37.45,730,1.12,0.37,4.88,334159.12
1,13.116,84.85,37.97,709,0.59,0.85,1.16,251877.51
1,32.494,85.42,37.04,760,0.67,-0.27,3.22,317095.11
0,45.798,69.98,36.94,750,1.09,0.2,4.98,316771.53
1,10.786,85.95,39.26,701,0.64,1.36,0.95,232829.86
0,44.477,70.35,35.45,763,0.93,0.03,4.78,328285.09
1,18.788,70.62,37.03,697,0.85,1.12,1.72,241791.09
1,9.943,85.79,37.43,721,0.6,0.74,0.87,263555.17
1,19.193,86.05,40.6,701,0.91,1.37,1.76,241954.03
1,18.765,83.04,37.9,717,0.82,0.76,1.72,261578.52
0,58.766,71.72,36.31,756,0.83,0.05,7.12,343514.43
1,22.827,72.27,36.4,706,1.11,0.96,2.14,281308.17
0,27.52,66.78,34.87,753,0.36,0.17,2.65,349504.47
1,15.054,70.03,36.94,710,0.86,1,1.35,283044.65
0,26.081,68.27,36.67,729,0.37,0.4,2.49,339901.02
0,48.42,71.51,35.9,763,0.65,-0.01,5.37,342563.87
0,38.23,68.04,36.91,732,0.57,0.38,3.94,339122.3
1,19.98,82.08,35.68,751,0.65,0.12,1.84,265359.36
0,44.649,71.24,37.26,736,1.17,0.32,4.81,332261.97
0,22.423,85.35,34.04,764,0.32,0,2.09,372247.33
1,21.134,82.47,37.52,720,1.08,0.69,1.96,252849.95
0,36.133,85.29,34.5,760,0.39,0.11,3.67,378622.75
0,54.135,85.17,35.36,750,0.58,0.23,6.29,379426.7
0,48.366,69.92,37.06,749,1.11,0.24,5.36,323821.8
1,11.537,85.86,38.12,703,0.58,1.05,1.02,245300.37
0,63.178,71.32,36.86,747,1.13,0.18,7.99,333568.45
1,20.978,85.63,37.53,759,0.62,-0.23,1.94,311174.71
1,8.908,84.29,38.07,708,0.37,0.88,0.77,246884.58
0,54.134,69.69,37.33,743,1.08,0.29,6.29,335594.79
0,37.282,67.95,36.19,745,0.64,0.26,3.81,342825.18
0,46.495,70.06,36.46,752,0.91,0.21,5.08,337826.98
1,17.833,83.89,38.91,706,0.93,1.14,1.62,245013.11
0,27.25,71.41,35.66,765,0.45,0,2.62,343010.15
1,19.162,72.71,39.05,685,0.88,1.48,1.76,269567.11
0,42.108,67.1,35.32,754,0.57,0.16,4.45,344786.38
1,12.891,86.2,38.09,702,0.63,1.09,1.14,247525.91
1,8.449,89.69,40.59,701,0.86,1.34,0.73,243337.16
1,12.388,88.93,37.68,712,0.88,0.76,1.1,265867.66
0,45.815,70.13,37.28,747,1.16,0.26,4.98,328195.01
0,54.53,69.86,35.72,761,0.84,0.07,6.36,334561.68
0,27.171,67.45,34.79,760,0.39,0.05,2.61,349516.79
0,27.584,66.96,35.17,754,0.39,0.16,2.65,346624.8
0,23.048,66.95,35.07,753,0.33,0.17,2.16,347161.17
0,58.613,72.23,36.43,754,0.88,0.02,7.09,364835.77
1,17.923,82.19,36.67,734,0.91,0.39,1.63,259402.08
1,25.262,84.28,39.57,706,1.14,1.16,2.4,239691.09
1,9.999,86.53,38.53,702,0.65,1.16,0.87,248182.9
1,11.521,86.17,38.3,702,0.61,1.12,1.01,249661.67
1,10.384,91.3,40.54,701,1.16,1.33,0.91,242124.17
1,12.479,89.1,38.11,706,1.11,0.93,1.1,253034.46
0,35.077,70.98,37.89,735,0.58,0.38,3.54,339578.45
1,9.749,84.06,37.98,711,0.4,0.8,0.85,253603.19
0,43.453,72.15,36.95,746,0.9,0.19,4.64,352181.47
1,18.601,82.44,37.67,719,1.15,0.74,1.7,255961.53
1,40.37,86.72,37.72,754,0.86,-0.19,4.22,315809.08
0,54.446,70.95,37.51,741,1.15,0.3,6.34,324743.64
