HPI,Rates,UE,FICO,Age,RollRate
-10,-1.5,4.5,650,12,5.231199699
-5,-1.5,4.5,650,12,4.575505091
0,-1.5,4.5,650,12,3.95186172
5,-1.5,4.5,650,12,3.421028546
10,-1.5,4.5,650,12,3.020287227
15,-1.5,4.5,650,12,2.741587131
20,-1.5,4.5,650,12,2.502309407
-50,-1.5,5,650,12,8.846455535
-45,-1.5,5,650,12,7.224120609
-40,-1.5,5,650,12,7.622847731
-35,-1.5,5,650,12,8.058051972
-30,-1.5,5,650,12,7.113075731
-25,-1.5,5,650,12,7.448658488
-20,-1.5,5,650,12,6.66805729
-10,-1.5,5,650,12,6.559909245
-5,-1.5,5,650,12,6.03834019
0,-1.5,5,650,12,5.427557633
5,-1.5,5,650,12,4.839486859
10,-1.5,5,650,12,4.362591175
15,-1.5,5,650,12,4.023738566
20,-1.5,5,650,12,3.724018753
-50,-1.5,7.5,650,12,7.968647275
-45,-1.5,7.5,650,12,9.307873883
-40,-1.5,7.5,650,12,8.210086752
-35,-1.5,7.5,650,12,9.382191146
-30,-1.5,7.5,650,12,8.52682855
-25,-1.5,7.5,650,12,7.767813291
-20,-1.5,7.5,650,12,7.095812351
-10,-1.5,7.5,650,12,7.290134974
-5,-1.5,7.5,650,12,7.708918188
0,-1.5,7.5,650,12,7.070984665
5,-1.5,7.5,650,12,7.614570365
10,-1.5,7.5,650,12,7.134021299
15,-1.5,7.5,650,12,6.814826901
20,-1.5,7.5,650,12,6.526171684
-50,-1,0,650,12,0.671989631
-45,-1,0,650,12,0.487073203
-40,-1,0,650,12,0.371399983
-35,-1,0,650,12,0.293139875
-30,-1,0,650,12,0.236936004
-25,-1,0,650,12,0.193030434
-20,-1,0,650,12,0.158817228
-10,-1,0,650,12,0.105924109
-5,-1,0,650,12,0.085976515
0,-1,0,650,12,0.07080097
5,-1,0,650,12,0.059584653
10,-1,0,650,12,0.051590269
15,-1,0,650,12,0.045789029
20,-1,0,650,12,0.041097511
-50,-1,0.5,650,12,0.850398988
-45,-1,0.5,650,12,0.610477008
-40,-1,0.5,650,12,0.462767118
-35,-1,0.5,650,12,0.363915497
-30,-1,0.5,650,12,0.293730585
-25,-1,0.5,650,12,0.239138286
-20,-1,0.5,650,12,0.19675068
-10,-1,0.5,650,12,0.131750718
-5,-1,0.5,650,12,0.10678712
0,-1,0.5,650,12,0.087696121
5,-1,0.5,650,12,0.07350891
10,-1,0.5,650,12,0.063406868
15,-1,0.5,650,12,0.056187398
20,-1,0.5,650,12,0.050346232
-50,-1,1,650,12,1.174375103
-45,-1,1,650,12,0.829266366
-40,-1,1,650,12,0.622454956
-35,-1,1,650,12,0.486440293
-30,-1,1,650,12,0.391405962
-25,-1,1,650,12,0.318025041
-20,-1,1,650,12,0.261402838
-10,-1,1,650,12,0.175501752
-5,-1,1,650,12,0.141962555
0,-1,1,650,12,0.116200796
5,-1,1,650,12,0.09697109
10,-1,1,650,12,0.083305314
15,-1,1,650,12,0.073688297
20,-1,1,650,12,0.065905549
-50,-1,1.5,650,12,1.816332244
-45,-1,1.5,650,12,1.244302276
-40,-1,1.5,650,12,0.917663705
-35,-1,1.5,650,12,0.709135307
-30,-1,1.5,650,12,0.566893252
-25,-1,1.5,650,12,0.458509622
-20,-1,1.5,650,12,0.375784447
-10,-1,1.5,650,12,0.252156073
-5,-1,1.5,650,12,0.20336731
0,-1,1.5,650,12,0.165817711
5,-1,1.5,650,12,0.137726806
10,-1,1.5,650,12,0.117829229
15,-1,1.5,650,12,0.104026888
20,-1,1.5,650,12,0.092860101
-50,-1,2.5,650,12,4.749478769
-45,-1,2.5,650,12,3.57762794
-40,-1,2.5,650,12,2.783705461
